                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 2.2773,                 2.7315,                  2.466,                0.37763,                   0.25,                0.22157,                0.08482,                 2.6858,                 2.7666,                 2.5936,              0.0015317,              0.0015317,              0.0015317
                     85,                 2.2237,                 2.6382,                 2.3887,                0.69151,                0.22222,                0.20828,                0.09368,                 2.6541,                 3.2437,                 2.5599,                0.00153,                0.00153,                0.00153
                     86,                 2.2709,                 2.7175,                  2.496,                0.72937,                0.21228,                0.24598,                0.10094,                 2.4804,                 2.6237,                 2.4986,              0.0015284,              0.0015284,              0.0015284
                     87,                 2.1752,                 2.5952,                 2.4421,                0.69871,                0.22222,                0.23975,                0.09171,                 2.2893,                 2.7143,                 2.3838,              0.0015267,              0.0015267,              0.0015267
                     88,                 2.2704,                 2.6642,                 2.4455,                  0.902,                0.05556,                  0.081,                0.03766,                 2.8461,                 3.7292,                 2.8408,              0.0015251,              0.0015251,              0.0015251
                     89,                 2.1837,                 2.5675,                 2.3984,                0.29463,                0.41667,                0.22961,                 0.0799,                 2.7911,                 2.9977,                 2.7386,              0.0015234,              0.0015234,              0.0015234
                     90,                 2.2628,                 2.6016,                  2.383,                0.96644,                0.16667,                0.20889,                0.06306,                 2.7043,                 3.0342,                 2.7631,              0.0015218,              0.0015218,              0.0015218
                     91,                 2.1661,                 2.3983,                 2.3767,                0.82737,                0.13889,                0.17776,                0.07838,                 2.5916,                 2.9151,                 2.6903,              0.0015201,              0.0015201,              0.0015201
                     92,                 2.1736,                 2.4663,                 2.3405,                0.24009,                0.22222,                0.17634,                0.06416,                 2.6587,                  3.101,                 2.7544,              0.0015185,              0.0015185,              0.0015185
                     93,                 2.2054,                 2.6186,                 2.4123,                0.95513,                0.11111,                0.16641,                0.05817,                 2.7304,                 3.5698,                 3.0424,              0.0015168,              0.0015168,              0.0015168
                     94,                 2.1734,                 2.5158,                  2.409,                0.41922,                0.36111,                0.35119,                0.12979,                 2.5584,                 2.5126,                 2.5188,              0.0015152,              0.0015152,              0.0015152
                     95,                 2.1571,                 2.5288,                 2.3845,                0.35751,                0.27778,                0.29507,                 0.1087,                 2.6093,                 2.7546,                 2.5769,              0.0015135,              0.0015135,              0.0015135
                     96,                 2.1393,                 2.4963,                 2.3911,                0.52397,                0.30556,                0.27172,                0.09213,                 2.4954,                 2.8748,                 2.5509,              0.0015119,              0.0015119,              0.0015119
                     97,                 2.0812,                 2.3751,                 2.3294,                0.27459,                   0.25,                0.26169,                0.14952,                 2.3479,                 2.7682,                 2.3269,              0.0015102,              0.0015102,              0.0015102
                     98,                 2.1406,                 2.6155,                 2.3278,                0.49988,                0.30556,                0.28395,                0.11389,                 2.7043,                 2.6155,                 2.6914,              0.0015086,              0.0015086,              0.0015086
                     99,                 2.2537,                 2.7294,                 2.4258,                0.53809,                0.21659,                0.22677,                0.07542,                  2.912,                 3.1613,                 2.9862,              0.0015069,              0.0015069,              0.0015069
                    100,                 2.1868,                 2.5318,                 2.3747,                0.83141,                0.16667,                0.21075,                 0.0953,                   2.43,                 4.1289,                 2.4461,              0.0015053,              0.0015053,              0.0015053
                    101,                 2.1526,                 2.5806,                 2.3559,                0.73323,                0.21875,                0.23827,                0.11109,                 2.5057,                 3.4537,                 2.5432,              0.0015036,              0.0015036,              0.0015036
                    102,                 2.1408,                 2.3775,                 2.3722,                 0.3135,                0.18728,                0.20294,                 0.0746,                 2.6821,                 3.1965,                 2.8127,               0.001502,               0.001502,               0.001502
